0.22 -15.4104 -15.3679 -15.2427 -15.2291 -15.2169 -15.2087 -15.2084 -15.2003 -15.1959 -15.1928 -10.4997 -9.7791 -6.4554 -6.4195 -3.1074 -2.3394 1.9125 2.7748 3.2228 3.7991 4.7084 5.128 5.2033 5.54 5.5615 5.6739 5.8226 6.0004 10.3795 11.3214 11.6519 12.0877 12.8009 12.8357 15.6576 16.2557 16.802 17.1139 18.9824 19.2085 19.4614 20.0979 20.1553 20.8513 21.5353 
0.23 -15.4093 -15.3658 -15.2429 -15.2291 -15.2197 -15.2109 -15.2078 -15.1992 -15.1956 -15.1929 -10.5134 -9.7844 -6.4601 -6.4242 -3.0911 -2.3172 1.9222 2.7437 3.3013 3.7844 4.7206 5.1279 5.1981 5.5573 5.5695 5.7052 5.7951 6.0024 10.3978 11.3333 11.6547 12.0496 12.7911 12.8111 15.6619 16.2226 16.7675 17.0883 18.9536 19.1767 19.4544 20.0762 20.1613 20.7857 21.4592 
0.24 -15.4078 -15.3638 -15.2431 -15.2292 -15.2226 -15.2136 -15.207 -15.1982 -15.1952 -15.1929 -10.5241 -9.7947 -6.4647 -6.4292 -3.0697 -2.2991 1.938 2.7122 3.387 3.7697 4.7202 5.1231 5.2061 5.5476 5.603 5.7347 5.7711 6.0033 10.4252 11.3397 11.661 12.0055 12.7797 12.7857 15.6707 16.1837 16.728 17.0521 18.9249 19.1641 19.4482 20.0325 20.1738 20.7041 21.4065 
0.25 -15.406 -15.3618 -15.2433 -15.2296 -15.2254 -15.2165 -15.2061 -15.1973 -15.1947 -15.1929 -10.5319 -9.8096 -6.469 -6.4343 -3.044 -2.285 1.9603 2.6847 3.4742 3.7559 4.7037 5.1119 5.2286 5.5296 5.6405 5.7251 5.7935 6.0038 10.4608 11.3423 11.6674 11.9568 12.7602 12.7655 15.6837 16.1406 16.6857 17.0073 18.8957 19.1693 19.4402 19.9644 20.1925 20.6191 21.3743 
0.26 -15.404 -15.3601 -15.2435 -15.2302 -15.2281 -15.2193 -15.2053 -15.1964 -15.1941 -15.1928 -10.5366 -9.8288 -6.473 -6.4394 -3.0145 -2.2752 1.9892 2.6636 3.5593 3.7436 4.6715 5.0915 5.2632 5.5029 5.6816 5.7052 5.8382 6.0048 10.5038 11.3427 11.6713 11.905 12.7352 12.7473 15.7001 16.0944 16.6426 16.9562 18.8653 19.1896 19.4287 19.8752 20.2167 20.54 21.3546 
0.27 -15.4017 -15.3585 -15.2437 -15.231 -15.2306 -15.2221 -15.2046 -15.1958 -15.1935 -15.1925 -10.5383 -9.8519 -6.4766 -6.4445 -2.9819 -2.2697 2.0251 2.6497 3.6398 3.7333 4.6266 5.0572 5.3057 5.4732 5.6926 5.7248 5.888 6.0079 10.5529 11.3417 11.6712 11.8516 12.7107 12.7244 15.7189 16.0461 16.601 16.9016 18.8337 19.2206 19.4136 19.7736 20.2455 20.469 21.3393 
0.28 -15.3993 -15.3571 -15.244 -15.233 -15.2321 -15.2247 -15.2038 -15.1953 -15.1929 -15.1921 -10.5369 -9.8784 -6.4799 -6.4495 -2.9469 -2.2683 2.0682 2.6437 3.7135 3.7248 4.5723 5.0042 5.3519 5.4496 5.6866 5.7672 5.9412 6.0159 10.607 11.3389 11.6669 11.798 12.6865 12.6963 15.7388 15.9969 16.5626 16.846 18.8015 19.2557 19.3961 19.6723 20.2778 20.4041 21.3222 
0.29 -15.3966 -15.356 -15.2443 -15.2352 -15.2335 -15.2271 -15.2031 -15.195 -15.1922 -15.1915 -10.5324 -9.9078 -6.4829 -6.4544 -2.9101 -2.2711 2.1184 2.6455 3.7181 3.7787 4.5116 4.9307 5.3984 5.4384 5.6849 5.8038 5.9967 6.0332 10.6646 11.3333 11.6601 11.7457 12.6617 12.6631 15.7585 15.9477 16.5288 16.7917 18.7696 19.2822 19.3783 19.5884 20.3119 20.3436 21.2988 
0.3 -15.3939 -15.3552 -15.2448 -15.2372 -15.2351 -15.2293 -15.2024 -15.1949 -15.1915 -15.1908 -10.5249 -9.9396 -6.4855 -6.459 -2.872 -2.2777 2.1759 2.655 3.7128 3.834 4.4471 4.8391 5.441 5.4434 5.6858 5.8292 6.0535 6.064 10.7243 11.3229 11.6537 11.6965 12.6248 12.6348 15.7763 15.8998 16.5006 16.7403 18.7392 19.2786 19.3629 19.5447 20.2873 20.3459 21.2671 
0.31 -15.391 -15.3547 -15.2453 -15.2388 -15.2368 -15.2313 -15.2017 -15.1949 -15.1908 -15.1901 -10.5144 -9.9735 -6.4876 -6.4634 -2.8332 -2.288 2.2402 2.6718 3.7082 3.8787 4.3811 4.7341 5.4553 5.4857 5.6885 5.8417 6.1084 6.111 10.7839 11.3059 11.6511 11.6527 12.5819 12.6044 15.7907 15.8546 16.4785 16.6932 18.7117 19.2365 19.3526 19.5485 20.2366 20.3772 21.2285 
